run_id,phase,model,device,seed,status,primary_metric,path
m2_a2_tanh_seed0_v1,M2,NAM_A2_packed,synthetic_tanh,0,failed,,experiments/runs/m2_a2_tanh_seed0_v1
m2_a2_tanh_seed0_v2,M2,NAM_A2_packed,synthetic_tanh,0,failed,,experiments/runs/m2_a2_tanh_seed0_v2
m2_a2_tanh_seed0_v3,M2,NAM_A2_packed,synthetic_tanh,0,completed,full_esr=0.689422688,experiments/runs/m2_a2_tanh_seed0_v3
m2_a2_tanh_seed1_v1,M2,NAM_A2_packed,synthetic_tanh,1,completed,full_esr=0.528332863,experiments/runs/m2_a2_tanh_seed1_v1
m2_a2_cpu_seed0_v1,M2,NAM_A2_Full_Lite,cpu,0,failed,,experiments/runs/m2_a2_cpu_seed0_v1
m2_a2_cpu_seed0_v2,M2,NAM_A2_Full_Lite,cpu,0,completed,full_b64_median_ns_per_sample=2862.24,experiments/runs/m2_a2_cpu_seed0_v2
m3_s0_tanh_seed0_v1,M3,S0,tanh,0,completed,esr=5.98802773e-05,experiments/runs/m3_s0_tanh_seed0_v1
m3_s3_tanh_seed0_v1,M3,S3,tanh,0,completed,esr=4.42838686e-05,experiments/runs/m3_s3_tanh_seed0_v1
m3_s4_tanh_seed0_v1,M3,S4,tanh,0,completed,esr=6.70938334e-05,experiments/runs/m3_s4_tanh_seed0_v1
m3_s0_slow_sag_seed0_v1,M3,S0,slow_sag,0,completed,esr=4.97488457e-05,experiments/runs/m3_s0_slow_sag_seed0_v1
m3_s1_slow_sag_seed0_v1,M3,S1,slow_sag,0,completed,esr=4.07967418e-05,experiments/runs/m3_s1_slow_sag_seed0_v1
m3_s3_slow_sag_seed0_v1,M3,S3,slow_sag,0,completed,esr=4.00112751e-05,experiments/runs/m3_s3_slow_sag_seed0_v1
m3_s0_short_memory_seed0_v1,M3,S0,short_nonlinear_memory,0,completed,esr=0.000534528532,experiments/runs/m3_s0_short_memory_seed0_v1
m3_s2_short_memory_seed0_v1,M3,S2,short_nonlinear_memory,0,completed,esr=0.000363346861,experiments/runs/m3_s2_short_memory_seed0_v1
m4_preflight_fulltone_b0_seed0_v1,M4_PREFLIGHT,B0,fulltone_full_drive_2,0,completed,esr=0.998671261,experiments/runs/m4_preflight_fulltone_b0_seed0_v1
m4_preflight_fulltone_b2_seed0_v1,M4_PREFLIGHT,B2,fulltone_full_drive_2,0,completed,esr=0.942652347,experiments/runs/m4_preflight_fulltone_b2_seed0_v1
m4_preflight_fulltone_s3_seed0_v1,M4_PREFLIGHT,S3,fulltone_full_drive_2,0,completed,esr=0.197121152,experiments/runs/m4_preflight_fulltone_s3_seed0_v1
m4_preflight_fulltone_s4_seed0_v1,M4_PREFLIGHT,S4,fulltone_full_drive_2,0,completed,esr=0.197303416,experiments/runs/m4_preflight_fulltone_s4_seed0_v1
m4_preflight_fulltone_b0_seed0_v2,M4_PREFLIGHT,B0,fulltone_full_drive_2,0,completed,esr=0.998671261,experiments/runs/m4_preflight_fulltone_b0_seed0_v2
m4_preflight_fulltone_b2_seed0_v2,M4_PREFLIGHT,B2,fulltone_full_drive_2,0,completed,esr=0.942652347,experiments/runs/m4_preflight_fulltone_b2_seed0_v2
m4_preflight_fulltone_s3_seed0_v2,M4_PREFLIGHT,S3,fulltone_full_drive_2,0,completed,esr=0.14698855,experiments/runs/m4_preflight_fulltone_s3_seed0_v2
m4_preflight_fulltone_s4_seed0_v2,M4_PREFLIGHT,S4,fulltone_full_drive_2,0,completed,esr=0.147119946,experiments/runs/m4_preflight_fulltone_s4_seed0_v2
m4_fulltone_b0_seed0_v1,M4,B0,fulltone_full_drive_2,0,completed,esr=0.0667698368,experiments/runs/m4_fulltone_b0_seed0_v1
m4_fulltone_b2_seed0_v1,M4,B2,fulltone_full_drive_2,0,completed,esr=0.271976111,experiments/runs/m4_fulltone_b2_seed0_v1
m4_fulltone_s3_seed0_v1,M4,S3,fulltone_full_drive_2,0,completed,esr=0.231867963,experiments/runs/m4_fulltone_s3_seed0_v1
m4_fulltone_s4_seed0_v1,M4,S4,fulltone_full_drive_2,0,completed,esr=0.231769887,experiments/runs/m4_fulltone_s4_seed0_v1
m4_fulltone_b0_seed1_v1,M4,B0,fulltone_full_drive_2,1,completed,esr=0.063882824,experiments/runs/m4_fulltone_b0_seed1_v1
m4_fulltone_b2_seed1_v1,M4,B2,fulltone_full_drive_2,1,completed,esr=0.267918478,experiments/runs/m4_fulltone_b2_seed1_v1
m4_fulltone_s3_seed1_v1,M4,S3,fulltone_full_drive_2,1,completed,esr=0.204371478,experiments/runs/m4_fulltone_s3_seed1_v1
m4_fulltone_s4_seed1_v1,M4,S4,fulltone_full_drive_2,1,completed,esr=0.215809127,experiments/runs/m4_fulltone_s4_seed1_v1
m4_fulltone_b0_seed2_v1,M4,B0,fulltone_full_drive_2,2,completed,esr=0.0409028741,experiments/runs/m4_fulltone_b0_seed2_v1
m4_fulltone_b2_seed2_v1,M4,B2,fulltone_full_drive_2,2,completed,esr=0.26522915,experiments/runs/m4_fulltone_b2_seed2_v1
m4_fulltone_s3_seed2_v1,M4,S3,fulltone_full_drive_2,2,completed,esr=0.211185238,experiments/runs/m4_fulltone_s3_seed2_v1
m4_fulltone_s4_seed2_v1,M4,S4,fulltone_full_drive_2,2,completed,esr=0.211611757,experiments/runs/m4_fulltone_s4_seed2_v1
m4_bigmuff_b0_seed0_v1,M4,B0,electro_harmonix_big_muff,0,completed,esr=0.548138315,experiments/runs/m4_bigmuff_b0_seed0_v1
m4_bigmuff_b2_seed0_v1,M4,B2,electro_harmonix_big_muff,0,completed,esr=0.930126847,experiments/runs/m4_bigmuff_b2_seed0_v1
m4_bigmuff_s3_seed0_v1,M4,S3,electro_harmonix_big_muff,0,completed,esr=0.966965545,experiments/runs/m4_bigmuff_s3_seed0_v1
m4_bigmuff_s4_seed0_v1,M4,S4,electro_harmonix_big_muff,0,completed,esr=0.992511964,experiments/runs/m4_bigmuff_s4_seed0_v1
m4_bigmuff_b0_seed1_v1,M4,B0,electro_harmonix_big_muff,1,completed,esr=0.653517262,experiments/runs/m4_bigmuff_b0_seed1_v1
m4_bigmuff_b2_seed1_v1,M4,B2,electro_harmonix_big_muff,1,completed,esr=1.05094953,experiments/runs/m4_bigmuff_b2_seed1_v1
m4_bigmuff_s3_seed1_v1,M4,S3,electro_harmonix_big_muff,1,completed,esr=0.94932972,experiments/runs/m4_bigmuff_s3_seed1_v1
m4_bigmuff_s4_seed1_v1,M4,S4,electro_harmonix_big_muff,1,completed,esr=0.948725917,experiments/runs/m4_bigmuff_s4_seed1_v1
m4_bigmuff_b0_seed2_v1,M4,B0,electro_harmonix_big_muff,2,completed,esr=0.596926117,experiments/runs/m4_bigmuff_b0_seed2_v1
m4_bigmuff_b2_seed2_v1,M4,B2,electro_harmonix_big_muff,2,completed,esr=0.930852295,experiments/runs/m4_bigmuff_b2_seed2_v1
m4_bigmuff_s3_seed2_v1,M4,S3,electro_harmonix_big_muff,2,completed,esr=0.996089432,experiments/runs/m4_bigmuff_s3_seed2_v1
m4_bigmuff_s4_seed2_v1,M4,S4,electro_harmonix_big_muff,2,completed,esr=0.959458537,experiments/runs/m4_bigmuff_s4_seed2_v1
m4_python_cpu_seed0_v1,M4,B2_S3_S4_python_benchmark,host_cpu,0,completed,s3_block64_ns=22473.0234,experiments/runs/m4_python_cpu_seed0_v1
