run_id,device,model,seed,status,best_step,parameters,latency_samples,esr,nmse,mae,gain_error,dc_error,correlation,mrstft,magnitude_error,log_spectral_distance_db,phase_error_radians,residual_energy_ratio
m4_fulltone_b0_seed0_v1,fulltone_full_drive_2,B0,0,completed,160,12145,0,0.06676983683428842,0.06676983689114128,0.028358762182503213,-0.1858595695893558,0.0015673649468263572,0.976631844781609,1.1118526600565648,0.21728382554763465,5.211946303527467,0.3639698341681382,0.0
m4_fulltone_b0_seed1_v1,fulltone_full_drive_2,B0,1,completed,160,12145,0,0.06388282402001225,0.0638828240744069,0.02767828587280242,-0.053021274775834404,0.0001213625922516031,0.9675955183609272,1.006631759145246,0.1808430489996969,4.859927926675438,0.45523548863851715,0.0
m4_fulltone_b0_seed2_v1,fulltone_full_drive_2,B0,2,completed,200,12145,0,0.04090287407923043,0.04090287411405821,0.021815521991282737,-0.06263526166582489,0.0018626523865848236,0.9796945405059113,0.8978204771498431,0.14846914668713565,4.520469449065996,0.3292007316321218,0.0
m4_fulltone_b2_seed0_v1,fulltone_full_drive_2,B2,0,completed,40,12153,0,0.27197611060625715,0.2719761108378381,0.0656448049096701,-0.3761372272014454,-0.005263032276545548,0.8665873535325745,2.422860951715796,0.3931810875045113,9.643841634608963,0.7349510665813976,0.0
m4_fulltone_b2_seed1_v1,fulltone_full_drive_2,B2,1,completed,120,12153,0,0.2679184783903779,0.26791847861850393,0.06431583029687302,-0.3479483997289865,-0.011961338820261881,0.8677765385273959,2.316180355132133,0.3853192093614813,9.411099647692044,0.7305955688838804,0.0
m4_fulltone_b2_seed2_v1,fulltone_full_drive_2,B2,2,completed,200,12153,0,0.26522915003930553,0.2652291502651416,0.06444143995797753,-0.36606147062403027,0.004544751504571953,0.8691140091943585,2.219927771639927,0.38822705301078253,9.312158436483138,0.7258538493077222,0.0
m4_fulltone_s3_seed0_v1,fulltone_full_drive_2,S3,0,completed,120,1244,0,0.23186796345066604,0.2318679636480959,0.05576270622547799,-0.23257277886839456,0.00019803033407760672,0.8764329523324162,1.2914732660769819,0.27511785536400934,5.8867653771894615,0.7579691182679122,3.4185616399232206e-06
m4_fulltone_s3_seed1_v1,fulltone_full_drive_2,S3,1,completed,120,1244,0,0.20437147799306918,0.20437147816708645,0.052819122101494476,-0.23370831917874946,0.003699215762206028,0.8930642498624963,1.4327109293937623,0.27794149276801255,6.175409357283861,0.722255688769397,3.045106035973413e-07
m4_fulltone_s3_seed2_v1,fulltone_full_drive_2,S3,2,completed,160,1244,0,0.21118523807939685,0.2111852382592159,0.05315784167811534,-0.20655614155599467,-0.0009742830936117065,0.8881949279864265,1.3982868183067085,0.2684540791681396,5.451827511287213,0.742343511233501,4.495834307909557e-06
m4_fulltone_s4_seed0_v1,fulltone_full_drive_2,S4,0,completed,120,1244,16,0.23176988744931132,0.23176988757285097,0.055750218877097524,-0.2334273836778855,-0.00033766554452846926,0.8764928048828529,1.2927872503681686,0.2754700769548457,5.926166808905042,0.7574802796961055,2.8969818547563216e-06
